epoch,train_loss,train_accuracy,test_accuracy
0,0.07321080333129926,0.010821368243243243,0.010415841584158416
1,0.07206596223468131,0.011995882601351352,0.02106930693069307
2,0.07051462923261252,0.02277766047297297,0.026336633663366336
3,0.06903014348311858,0.03299197635135135,0.04146534653465347
4,0.06631462283771146,0.057920713682432436,0.06403960396039604
5,0.06191025143997236,0.10090266047297297,0.1257029702970297
6,0.057350179244848816,0.15033783783783783,0.1664950495049505
7,0.052932022031057964,0.20040646114864866,0.18277227722772277
8,0.04935831462117759,0.24204233530405406,0.20126732673267328
9,0.04639752702618187,0.27961359797297297,0.25053465346534654
10,0.04354347494176843,0.31602354307432434,0.24637623762376237
11,0.041083407092162155,0.34708878800675674,0.20633663366336633
12,0.0386980704319748,0.37779771959459457,0.30946534653465346
13,0.036620777422054246,0.4048247466216216,0.354019801980198
14,0.034813323848965495,0.42933118665540543,0.3453069306930693
15,0.033152978374538095,0.4519900760135135,0.3238811881188119
16,0.03155231215059757,0.47763144003378377,0.27223762376237626
17,0.030242898923090913,0.4954075168918919,0.2076039603960396
18,0.02891266425394199,0.5103462837837838,0.33932673267326735
19,0.027678652683442287,0.5285182643581081,0.37643564356435644
20,0.026706948734142564,0.5458324535472973,0.3914059405940594
21,0.025665672683919016,0.5593855574324325,0.3714059405940594
22,0.02487660469571975,0.5717377533783784,0.404990099009901
23,0.024073576229539786,0.5808171452702703,0.3996831683168317
24,0.023153158173134382,0.5943834459459459,0.4287920792079208
25,0.022496754587204622,0.6039379222972973,0.3824950495049505
26,0.021786756593395365,0.6151024070945946,0.41976237623762375
27,0.021304917797784914,0.6240894214527027,0.43255445544554455
28,0.020689988032999363,0.6321658572635135,0.3489108910891089
29,0.020264473769983107,0.636692356418919,0.4243168316831683
30,0.007804384772157805,0.8736011402027027,0.6227326732673267
