epoch,train_loss,train_accuracy,test_accuracy
0,0.07231576767834749,0.01975559543918919,0.032514851485148516
1,0.06830005342987451,0.035063872466216214,0.04669306930693069
2,0.06480320278893817,0.06583878800675676,0.09457425742574257
3,0.059406400702216415,0.12089579814189189,0.1577029702970297
4,0.052304340794005186,0.20744035050675674,0.2634059405940594
5,0.04481980792839419,0.29820787584459457,0.30514851485148514
6,0.038700512271713124,0.3791042018581081,0.3702178217821782
7,0.03392448785291477,0.44601192989864863,0.3483168316831683
8,0.03017881765622984,0.49652924408783783,0.4367920792079208
9,0.027208915457806803,0.5372413429054054,0.4878019801980198
10,0.02468816640871492,0.5754460515202703,0.516990099009901
11,0.022624818145043468,0.6051916173986487,0.5148514851485149
12,0.02093376586552371,0.631374049831081,0.5354059405940594
13,0.019375804141163824,0.6578204180743243,0.5284356435643565
14,0.01818346474827691,0.6758604307432432,0.5721188118811881
15,0.017078175812282347,0.6904692778716216,0.5491881188118812
16,0.016022888183255087,0.7088656038851351,0.533980198019802
17,0.01519900084049864,0.7203732052364865,0.5390495049504951
18,0.01458765621932054,0.7305611275337838,0.5725148514851485
19,0.014031612512401558,0.739574535472973,0.5635643564356435
20,0.013554050628603858,0.7480600717905406,0.5861386138613861
21,0.01296485873531889,0.7569811021959459,0.5641188118811881
22,0.012612545237537813,0.7626953125,0.5744158415841584
23,0.012154596845450049,0.7691485430743243,0.5892673267326732
24,0.011932856843552808,0.7722497888513513,0.5898613861386138
25,0.01171218798792159,0.7785842483108109,0.5769504950495049
26,0.011423822223547507,0.7813027871621622,0.5689900990099009
27,0.011193550808609209,0.7867002744932432,0.5693465346534653
28,0.010950133835642854,0.7895111908783784,0.5825742574257425
29,0.010890936306677758,0.7889965160472973,0.5571881188118812
30,0.0031307146374390206,0.9507495777027027,0.7327128712871287
