epoch,train_loss,train_accuracy,test_accuracy
0,0.07202704029327088,0.021669130067567568,0.03108910891089109
1,0.06714857613837177,0.052919130067567564,0.08095049504950495
2,0.06353270623155614,0.08518528293918919,0.10213861386138613
3,0.0609486320140687,0.11280616554054054,0.13706930693069308
4,0.05836093122986231,0.14191828547297297,0.14273267326732672
5,0.05517591984434562,0.17768158783783783,0.19615841584158417
6,0.052092907333915875,0.21389358108108109,0.2384158415841584
7,0.04916890456256542,0.2507390202702703,0.27041584158415843
8,0.046452044160528616,0.28396853885135137,0.25944554455445545
9,0.043999337831681425,0.31459828969594594,0.2953267326732673
10,0.04161651570688594,0.3481313344594595,0.2992079207920792
11,0.039242686531083155,0.37947371199324326,0.3884752475247525
12,0.03714651780033653,0.4060124577702703,0.3598019801980198
13,0.035403469032184644,0.43202333192567566,0.39465346534653467
14,0.034006519050083374,0.4489944045608108,0.4045940594059406
15,0.032568539463999596,0.46910631334459457,0.41508910891089107
16,0.03117736026475375,0.4899968327702703,0.3995643564356436
17,0.030041470541195436,0.5050807643581081,0.4278811881188119
18,0.028961530276997518,0.5198083826013513,0.43405940594059406
19,0.028028505027971485,0.5321341849662162,0.41687128712871285
20,0.027114404043690723,0.5476272170608109,0.46273267326732676
21,0.02627230556851083,0.555690456081081,0.4485940594059406
22,0.02558481179093096,0.5663138724662162,0.45742574257425744
23,0.024793421770022674,0.5779930320945946,0.4735445544554455
24,0.024192665932192044,0.585475612331081,0.4662574257425743
25,0.023606570009988816,0.5966400971283784,0.4735049504950495
26,0.02300053882158615,0.6041094805743243,0.45152475247524754
27,0.0225712197993628,0.6088207347972973,0.45873267326732675
28,0.02193528434685008,0.6198928420608109,0.4689108910891089
29,0.021500129209492694,0.6270850929054054,0.4854257425742574
30,0.00944453521927988,0.8438555743243243,0.627009900990099
