epoch,train_loss,train_accuracy,test_accuracy
0,0.07362197360531851,0.009646853885135136,0.011881188118811881
1,0.07044949726624923,0.02312077702702703,0.03813861386138614
2,0.0679397411305796,0.041200380067567564,0.0459009900990099
3,0.06552718587897041,0.0640308277027027,0.07928712871287129
4,0.06085448474707928,0.1128589527027027,0.12534653465346535
5,0.054675236605107785,0.18065086570945946,0.179009900990099
6,0.04888164976103739,0.24927417652027026,0.2567128712871287
7,0.043864895494824106,0.3131466427364865,0.27683168316831686
8,0.03970927192744884,0.3664088893581081,0.30867326732673267
9,0.036402593524279915,0.41081608952702703,0.36174257425742573
10,0.03349585401910273,0.4508815456081081,0.3494257425742574
11,0.03099674342538823,0.4863941089527027,0.328
12,0.02882183096456257,0.5159153293918919,0.4302970297029703
13,0.027044135071337218,0.5423616976351351,0.47928712871287127
14,0.025128281221471052,0.5700749577702703,0.43033663366336633
15,0.02363613282584331,0.5923643369932432,0.4670891089108911
16,0.022114287797700277,0.6136639569256757,0.4761980198019802
17,0.02102351811545139,0.6297508445945946,0.494019801980198
18,0.019944250590421934,0.6468670819256757,0.45164356435643566
19,0.019095116775821555,0.6619114231418919,0.4796039603960396
20,0.018206766770983287,0.6754249366554054,0.5159207920792079
21,0.0174657065899704,0.6852829391891891,0.49453465346534653
22,0.016854532294568014,0.6954576646959459,0.5154059405940594
23,0.016310833582908593,0.7022012246621622,0.524990099009901
24,0.015687126994386992,0.7122571790540541,0.49576237623762376
25,0.015336720902811397,0.7183408994932432,0.5293861386138614
26,0.014939968069083988,0.7237911739864865,0.4984158415841584
27,0.014638251297768544,0.7288191511824325,0.47675247524752473
28,0.014179130138575352,0.7365392736486487,0.5245940594059406
29,0.013994692619043318,0.7392578125,0.4992079207920792
30,0.0040213049630719155,0.9377903293918919,0.7139405940594059
