Wall time,Step,Value
1692304430.2609923,0,0.015559015795588493
1692305110.6105263,1,0.04890730604529381
1692305791.312002,2,0.09206081181764603
1692306472.1976867,3,0.14009712636470795
1692307153.1059759,4,0.1917889565229416
1692307834.069339,5,0.24044552445411682
1692308515.0046437,6,0.29637351632118225
1692309195.9376793,7,0.3421531915664673
1692309876.8592415,8,0.3883815407752991
1692310557.6044376,9,0.4300174117088318
1692311238.4005113,10,0.4670344293117523
1692311919.2055042,11,0.4953547418117523
1692312599.9694047,12,0.5218670964241028
1692313280.8748426,13,0.5481154918670654
1692313961.474204,14,0.5682142376899719
1692314641.9908063,15,0.5851852893829346
1692315322.621817,16,0.6023411154747009
1692316003.180108,17,0.6173326373100281
1692316683.817291,18,0.6326409578323364
1692317364.359068,19,0.642578125
1692318044.9077506,20,0.6537954211235046
1692318725.4372277,21,0.6627164483070374
1692319406.0514195,22,0.6697239279747009
1692320086.5666013,23,0.6807432174682617
1692320766.8989434,24,0.6845571398735046
1692321447.4586027,25,0.6880938410758972
1692322128.0228007,26,0.7002876996994019
1692322808.5017507,27,0.7050649523735046
1692323488.9998233,28,0.7085092663764954
1692324169.4451709,29,0.7121912240982056
1692324849.9476998,30,0.9001134634017944
1692325530.3758214,31,0.9563978314399719
1692326210.6873379,32,0.9802972078323364
1692326890.8457575,33,0.9915936589241028
1692327571.082125,34,0.9965028762817383
1692328251.271834,35,0.9983240365982056
1692328931.4686031,36,0.9990366101264954
1692329611.633243,37,0.9993269443511963
1692330291.8183808,38,0.9994721412658691
1692330971.884354,39,0.9995381236076355
1692331651.9911292,40,0.9995908737182617
1692332332.0775437,41,0.9996172785758972
1692333012.1471665,42,0.999564528465271
1692333692.4013846,43,0.9995908737182617
1692334372.7168624,44,0.9996041059494019
1692335053.0076308,45,0.9995908737182617
1692335733.4024081,46,0.9995908737182617
1692336413.7653813,47,0.9995908737182617
1692337094.0885913,48,0.9995908737182617
1692337774.4498038,49,0.9996172785758972
1692338454.9021492,50,0.9995777010917664
1692339135.325134,51,0.9996305108070374
1692339815.8271368,52,0.9996041059494019
1692340496.1821911,53,0.9996041059494019
1692341176.6406171,54,0.9996172785758972
1692341857.0405676,55,0.9996172785758972
1692342537.5065463,56,0.9996305108070374
1692343217.9339652,57,0.9995908737182617
1692343898.3816428,58,0.9996041059494019
1692344578.8320918,59,0.9995908737182617
1692345259.1520264,60,0.9996305108070374
1692345939.5602145,61,0.9996305108070374
1692346619.9310591,62,0.9996172785758972
1692347300.4079175,63,0.9996172785758972
1692347980.8845186,64,0.9996305108070374
1692348661.2517269,65,0.9996305108070374
1692349341.6475604,66,0.9996305108070374
1692350022.0549452,67,0.9996172785758972
